"Name of Hospital"	"Hospital Id"	Mobile	Email	"Hospital Type"	Address	District	hospital
"PHC BEYPORE",HOSP11PHC006,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc36097199
"PHC CHALIYAM",HOSP11PHC007,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc3609719a
"PHC CHANGAROTH",HOSP11PHC008,4962994455,phcchangaroth@gmail.com,PHC,"Kadiyangad post perambra 673525","KOZHIKODE ",6440d353bc3a1cbc3609719b
"PHC CHEKKIAD",HOSP11PHC009,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc3609719c
"PHC CHENGOTTUKAVU",HOSP11PHC010,9447339541,phcchengottukavu@gmail.com,PHC,"FHC Chengottukavu, PO. Edakulam, Koyilandy-673306","KOZHIKODE ",6440d353bc3a1cbc3609719d
"PHC CHERUVANNUR NALLALAM",HOSP11PHC011,4952422235,phcnallalam@gmail.com,PHC,,"KOZHIKODE ",6440d353bc3a1cbc3609719e
"PHC CHOOLUR",HOSP11PHC012,4952964177,phcchoolur@gmail.com,PHC,"Phc choolur, Nechooli, Choolur P.O KKD 673601","KOZHIKODE ",6440d353bc3a1cbc3609719f
"PHC CHORODE",HOSP11PHC013,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971a0
"PHC EDACHERY",HOSP11PHC014,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971a1
"PHC ERAMANGALAM",HOSP11PHC015,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971a2
"PHC FISHERIES DISPENSARY VADAKARA",HOSP11PHC016,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971a3
"PHC GOVT RURAL DISPENSARY QTRS VELLIMADUKUNNU KDE",HOSP11PHC017,4952373713,govtdispensaryngoqts@gmail.com,PHC,"VELLIMADKUNNU PO KOZHIKODE 673012","KOZHIKODE ",6440d353bc3a1cbc360971a4
"PHC HEALTH & FAMILYWELFARE TRAINING CENTRE, KOZHIKODE",HOSP11PHC018,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971a5
"PHC IRINGAL KOTTAKKAL",HOSP11PHC019,9447489197,"iringalphckottakkal. gmail. com",PHC,"iringal kottakkal (po) vatakara(via)","KOZHIKODE ",6440d353bc3a1cbc360971a6
"PHC IRIVALLUR",HOSP11PHC020,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971a7
"PHC KAKKAYAM",HOSP11PHC021,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971a8
"PHC KAKKODI",HOSP11PHC022,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971a9
"PHC KAKKUR",HOSP11PHC023,,phckakkur@gmail.com,PHC,"FHC KAKKUR, P. C PALAM, Kozhikode","KOZHIKODE ",6440d353bc3a1cbc360971aa
"PHC KARASSERY",HOSP11PHC024,9605163252,"fhc2karassery@gmail.com ",PHC,"ALLY POST ,MUKKAM VIA,PIN 673602","KOZHIKODE ",6440d353bc3a1cbc360971ab
"PHC KATTIPPARA",HOSP11PHC025,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971ac
"PHC KAYAKKODY",HOSP11PHC026,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971ad
"PHC KAYANNA",HOSP11PHC027,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971ae
"PHC KEEZHARIYUR",HOSP11PHC028,9605478827,fhckeezhariyur@gmail.com,PHC,"Keezhariyur (Po),Koyilandy ,673307(Pin)","KOZHIKODE ",6440d353bc3a1cbc360971af
"PHC KIZHAKOTH",HOSP11PHC029,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971b0
"PHC KODIYATHUR",HOSP11PHC030,6238250415,phckodiyathur@gmail.com,PHC,"Kodiyathur (PO),Pin-673602","KOZHIKODE ",6440d353bc3a1cbc360971b1
"PHC KOLATHUR",HOSP11PHC031,4952456191,phckolathur@gmail.com,PHC,"Kolathur (PO), Kozhikode - 673315","KOZHIKODE ",6440d353bc3a1cbc360971b2
"PHC KOODARANJI",HOSP11PHC032,9895528204,koodaranhiphc@gmail.com,PHC,KOODARANJI(PO)KOOODARANJI,"KOZHIKODE ",6440d353bc3a1cbc360971b3
"PHC KOOTHALI",HOSP11PHC033,9847101528,phckoothali@gmail.com,PHC,"Thandorapara post,kayanna 673526","KOZHIKODE ",6440d353bc3a1cbc360971b4
"PHC KOTTUR",HOSP11PHC034,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971b5
"PHC KUNDUTHODE",HOSP11PHC035,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971b6
"PHC KUNNAMANGALAM",HOSP11PHC036,4952965170,mophckglm@gmail.com,PHC,"kunnamangalm PO Kozhikode ","KOZHIKODE ",6440d353bc3a1cbc360971b7
"PHC KURUVATTUR",HOSP11PHC037,0495-2811900,phckuruvattoor@gmail.com,PHC,"Kuruvattoor (P.O),Kozhikode,Pin;673611","KOZHIKODE ",6440d353bc3a1cbc360971b8
"PHC MADAPPALLY",HOSP11PHC038,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971b9
"PHC MADAVOOR",HOSP11PHC039,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971ba
"PHC MANGAD",HOSP11PHC040,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971bb
"PHC MANIYOOR",HOSP11PHC041,4962537350,phmaniyoor.kunnathukara@gmail.com,PHC,"MANIYUR,MUTHUVANA.P.O-673523","KOZHIKODE ",6440d353bc3a1cbc360971bc
"PHC MARUTHONKARA",HOSP11PHC042,4962935530,"phcmaruthomkara@gmail.com ",PHC,"Maruthonkara (PO) Kozhikode ,PIN 673513","KOZHIKODE ",6440d353bc3a1cbc360971bd
"PHC MCH UNIT CHERUPPA",HOSP11PHC043,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971be
"PHC MEPPAYYUR",HOSP11PHC044,4962677505,phcmeppayur@gmail.com,PHC,"MEPPAYUR POST,PAYYOLI VIA,673524","KOZHIKODE ",6440d353bc3a1cbc360971bf
"PHC MOODADI",HOSP11PHC045,4962966150,fhcmoodadi@gmail.com,PHC,"Moodadi North PO, Hill Bazar,Moodadi,Kozhikode,673307","KOZHIKODE ",6440d353bc3a1cbc360971c0
"PHC NADUVANNUR",HOSP11PHC046,4962930870,phcnaduvannur@gmail.com,PHC,"KAVIL.P.O,NADUVANNUR","KOZHIKODE ",6440d353bc3a1cbc360971c1
"PHC NARIPATTA",HOSP11PHC047,4962967383,phcnarippatta@gmail.com,PHC,"Chekkokkummal West  (PO),Kakkattil (VIA) 673507","KOZHIKODE ",6440d353bc3a1cbc360971c2
"PHC NOCHAD",HOSP11PHC048,9447409009,phcnochadu@gmail.com,PHC,"Chenoli .(PO),Perambra(Via) 673525","KOZHIKODE ",6440d353bc3a1cbc360971c3
"PHC OMESSARY",HOSP11PHC049,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971c4
"PHC PANANGAD",HOSP11PHC050,4962998764,phcpanangadkkd@gmail.com,PHC,"FHC PANANGAD ,kannadipoyil (po),balusseri","KOZHIKODE ",6440d353bc3a1cbc360971c5
"PHC PANNIKKOTTUR",HOSP11PHC051,9048683835,phcpannikkottur@gmail.com,PHC,"Chempanoda Post, Peruvannamuzhi, Perambra 673528","KOZHIKODE ",6440d353bc3a1cbc360971c6
"PHC PERUVANNAMUZHI",HOSP11PHC052,9747055710,phcmoozhi@gmail.com,PHC,"Peruvannamoozhi post,perambra,673528","KOZHIKODE ",6440d353bc3a1cbc360971c7
"PHC PERUVAYAL",HOSP11PHC053,7736853193,phcperuvayal@gmail.com,PHC,"KONARAMBA, PERUVAYAL PO, 673008","KOZHIKODE ",6440d353bc3a1cbc360971c8
"PHC PUDUPPADI",HOSP11PHC054,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971c9
"PHC PURAMERY",HOSP11PHC055,4962581880,phcpuramery@gmail.com,PHC,"PHC PURAMERI , AROOR P.O , KOZHIKODE  - 673507","KOZHIKODE ",6440d353bc3a1cbc360971ca
"PHC PUTHIYAPPA",HOSP11PHC056,4952984600,phcputhiyappa@gmail.com,PHC,"Puthiyangadi PO, kozhikode,673021","KOZHIKODE ",6440d353bc3a1cbc360971cb
"PHC RAMANATUKARA",HOSP11PHC057,4952441600,"fhcramanattukara@gmail.com ",PHC,"Ramantukara, Airport road ","KOZHIKODE ",6440d353bc3a1cbc360971cc
"PHC THIRUVAMBADI",HOSP11PHC058,4952255775,phctbdy@gmail.com,PHC,"Thazhe Thiruvambady Kozhikode 673603","KOZHIKODE ",6440d353bc3a1cbc360971cd
"PHC THURAYUR",HOSP11PHC059,4962470366,phcthurayur@gmail.com,PHC,"Payyoli Angadi Po PIN 673523","KOZHIKODE ",6440d353bc3a1cbc360971ce
"PHC TUNERI",HOSP11PHC060,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971cf
"PHC VANIMAL",HOSP11PHC061,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971d0
"PHC VAYALADA",HOSP11PHC062,4962083017,"vayaladaphc@gmail.com ",PHC,"VAYALADA PO, KOZHIKODE 673674","KOZHIKODE ",6440d353bc3a1cbc360971d1
"PHC VELAM",HOSP11PHC063,,,PHC,l,"KOZHIKODE ",6440d353bc3a1cbc360971d2
"PHC VILLYAPPALLI",HOSP11PHC064,,,PHC,,"KOZHIKODE ",6440d353bc3a1cbc360971d3
"FHC PERUMANNA ",HOSP11PHC065,0495-2966824,fhcperumanna@gmail.com,FHC,"Perumanna PO, Kottayithazham","KOZHIKODE ",6440d353bc3a1cbc360971d4
"TH Balussery",HOSP11TH001,9447219338,talukhospitalblsy@gmail.com,TH,"TH Balussery, Kozhikode ","KOZHIKODE ",6440d353bc3a1cbc360971d5
"TH Feroke",HOSP11TH002,4952482513,"mophcferoke@gmail.com ",TH,"Hospital management committee ","KOZHIKODE ",6440d353bc3a1cbc360971d6
"TH Kuttiyadi",HOSP11TH006,4962597173,thkuttiady@gmail.com,TH,"Kuttiady (PO), Kozhikode ","KOZHIKODE ",6440d353bc3a1cbc360971d7
"TH Nadapuram",HOSP11TH007,9496343191,thnadapuram@gmail.com,TH,"Hospital Development Committee","KOZHIKODE ",6440d353bc3a1cbc360971d8
"TH Perambra",HOSP11TH008,9747211594,thperambrarsby@gmail.com,TH,"Perambra PO, kozhikode, 673525","KOZHIKODE ",6440d353bc3a1cbc360971d9
"TH Thamarassery",HOSP11TH009,9961997700,gthtsy@gmail.com,TH,"Taluk Hospital Thamarassery, Thamarassery, Kozhikode, 673573Thamarassery","KOZHIKODE ",6440d353bc3a1cbc360971da
"THQH Koyilandy",HOSP11TH005,4962960241,talukhospitalkoyilandy@gmail.com,TH,"Koyilandy PO, Kozhikode - 673305","KOZHIKODE ",6440d353bc3a1cbc360971db
"Govt. Hospital of Dermatology Chevayur",HOSP11TH003,,,TH,,"KOZHIKODE ",6440d353bc3a1cbc360971dc
"Govt.Mental Health centre ,Kozhikode",HOSP11TH004,,,TH,,"KOZHIKODE ",6440d353bc3a1cbc360971dd
"W&C Kozhikode",HOSP11TH010,4952721998,,TH,"Govt. Hospital for Woman and Children, Kozhikode,","KOZHIKODE ",6440d353bc3a1cbc360971de
"DH VADAKARA",HOSP11DH001,4962524259,dhvatakara@gmail.com,DH,"Superintendent, Govt. District Hospital Vatakara, Vatakara PO, Kozhikode, 673101","KOZHIKODE ",6440d353bc3a1cbc360971df
"GGH KOZHIKODE",HOSP11GH001,,,GGH,,"KOZHIKODE ",6440d353bc3a1cbc360971e0
"CHUNGATHARA CHC",HOSP10CHC001,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971e1
"EDAPPAL CHC",HOSP10CHC002,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971e2
"EDAVANNA CHC",HOSP10CHC003,9895187171,mochcedavanna@gmail.com,CHC,"CHEMBAKKUTH EDAVANNA PO EDAVANNA",MALAPPURAM,6440d365bc3a1cbc360971e3
"KALIKAVU CHC",HOSP10CHC004,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971e4
"KARUVARAKUND CHC",HOSP10CHC005,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971e5
"KOTTAKKAL CHC",HOSP10CHC006,0483-2744400,phckottakkal@gmail.com,CHC,"Family health centre, Kottakkal ",MALAPPURAM,6440d365bc3a1cbc360971e6
"KUZHIMANNA CHC",HOSP10CHC007,8086808271,mophckuzhimanna@gmail.com,CHC,"KUZHIMANNA P O MALAPPURAM 673641",MALAPPURAM,6440d365bc3a1cbc360971e7
"MANKADA CHC",HOSP10CHC008,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971e8
"MARANCHERY(O) CHC",HOSP10CHC009,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971e9
MELATTUR,HOSP10CHC010,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971ea
"NEDUVA CHC",HOSP10CHC011,04942412709,mobphcneduva@gmail.com,CHC,"COMMUNITY HEALTH CENTRE, NEDUVA, CHETTIPPADI PO, MALAPPURAM-676319",MALAPPURAM,6440d365bc3a1cbc360971eb
"OMANUR CHC",HOSP10CHC012,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971ec
"URANGATIRI CHC",HOSP10CHC013,04832759888,phcurangattiri@gmail.com,CHC,"CHC Urangattiri ,Vettilapara PO,Pin:673639",MALAPPURAM,6440d365bc3a1cbc360971ed
"PERUVALLUR CHC",HOSP10CHC014,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971ee
"PURATHUR CHC",HOSP10CHC015,9447698486,mochcpurathur@gmail.com,CHC,"CHC purathur, muttannur po, purathur,tirur 676561",MALAPPURAM,6440d365bc3a1cbc360971ef
"PUZHAKKATTIRI CHC",HOSP10CHC016,9895354374,medicalofficer.puzhakkattiri@gmail.com,CHC,"CHC PUZHAKKATTIRI, PUZHAKKATTIRI PO, PIN- 679321",MALAPPURAM,6440d365bc3a1cbc360971f0
"TANUR CHC",HOSP10CHC017,04942963684,chctanur@gmail.com,CHC,"BEACH ROAD TANUR, MALAPPURAM - 676302",MALAPPURAM,6440d365bc3a1cbc360971f1
"THRIKKANAPURAM CHC",HOSP10CHC018,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971f2
"VALAVANNUR CHC",HOSP10CHC019,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971f3
"VENGARA CHC",HOSP10CHC020,9895820435,movengara@gmail.com,CHC,"chc vengara, vengara post, pin code 676304",MALAPPURAM,6440d365bc3a1cbc360971f4
"VETTOM CHC",HOSP10CHC021,,,CHC,,MALAPPURAM,6440d365bc3a1cbc360971f5
"PHC ALANKODE",HOSP10PHC001,,,PHC,,MALAPPURAM,6440d365bc3a1cbc360971f6
"PHC ALIPARAMBA",HOSP10PHC002,,,PHC,,MALAPPURAM,6440d365bc3a1cbc360971f7
"PHC AMARAMBALAM",HOSP10PHC003,,,PHC,,MALAPPURAM,6440d365bc3a1cbc360971f8
"PHC ANAKAYAM",HOSP10PHC004,9447536944,medicalofficerphcanakkayam@gmail.com,PHC,"Medical officer  PHC Anakkayam, Kadambode (PO), Pandikad (Via), Malappuram  ",MALAPPURAM,6440d365bc3a1cbc360971f9
"PHC ANGADIPPURAM",HOSP10PHC005,8907379890,mophcangadippuram@gmail.com,PHC,"VALAMBUR P.O,PIN 679325",MALAPPURAM,6440d365bc3a1cbc360971fa
"PHC AR NAGAR",HOSP10PHC006,9633201602,phcarnagar@gmail.com,PHC,"Kunnumpuram, Kuttoor North P.O, Malappuram Dt - 676305",MALAPPURAM,6440d365bc3a1cbc360971fb
"PHC ATHANIKKAL",HOSP10PHC007,,,PHC,,MALAPPURAM,6440d365bc3a1cbc360971fc
"PHC ATHAVANAD",HOSP10PHC008,0494-2573000,mophcathavanad@gmail.com,PHC,"PHC ATHAVANAD ATHAVANAD  PO MATTUMMAL PIN 676301",MALAPPURAM,6440d365bc3a1cbc360971fd
"PHC CHALIYAR",HOSP10PHC009,,,PHC,,MALAPPURAM,6440d365bc3a1cbc360971fe
"PHC CHATHALLOOR",HOSP10PHC010,9446250324,mophcchathallur@gmail.com,PHC,"CHATHALLUR PO,EDAVANNA VIA,MALAPPURAM,676541",MALAPPURAM,6440d365bc3a1cbc360971ff
"PHC CHEACODE",HOSP10PHC011,9388434484,mophcmuthuvallur@gmail.com,PHC,"PHC MUTHUVALLUR,VILAYIL,MALAPPURAM",MALAPPURAM,6440d365bc3a1cbc36097200
"PHC CHELEMBRA",HOSP10PHC012,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097201
"PHC CHEMMALASSERY",HOSP10PHC013,+918137901432,mophchemmalassery@yahoo.in,PHC,"CHEMMALASSERY P.O,PULAMANTHOLE,MALAPPURAM,KERALA-679323",MALAPPURAM,6440d365bc3a1cbc36097202
"PHC CHERIYAMUNDAM",HOSP10PHC014,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097203
"PHC CHERUKAVU",HOSP10PHC015,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097204
"PHC CHOKKAD",HOSP10PHC016,07593025203,fhcchokkad@gmail.com,PHC,"FAMILY HEALTH CENTRE CHOKKAD
family health centre chokkad , t k colony p o",MALAPPURAM,6440d365bc3a1cbc36097205
"PHC EDAKKARA",HOSP10PHC017,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097206
"PHC EDAPATTA",HOSP10PHC018,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097207
"PHC EDARIKKODE(NEW)",HOSP10PHC019,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097208
"PHC EDAYUR",HOSP10PHC020,9495137103,mophcedayoor@gmail.com,PHC,,MALAPPURAM,6440d365bc3a1cbc36097209
"PHC ELAMKULAM",HOSP10PHC021,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609720a
"PHC EZHUVATHIRUTHY",HOSP10PHC022,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609720b
"PHC IRIMBILIYAM",HOSP10PHC023,"7012717121 (N/O)",moirimbliyamphc@gmail.com,PHC,"MEDICAL OFFICER PHC IRIMBILIYAM,VALIYAKUNNU POST,MALAPPURAM 676552",MALAPPURAM,6440d365bc3a1cbc3609720c
"PHC IRINGALLUR",HOSP10PHC024,04942459309,iringalloorphc@gmail.com,PHC,"Palani,Iringallur P.O,Malappuram-676304",MALAPPURAM,6440d365bc3a1cbc3609720d
"PHC KADALUNDI NAGARAM",HOSP10PHC025,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609720e
"PHC KALADI",HOSP10PHC026,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609720f
"PHC KALPAKANCHERY",HOSP10PHC027,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097210
"PHC KANNAMANGALAM",HOSP10PHC028,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097211
"PHC KARULAI",HOSP10PHC029,04931-271160,mochckarulai@gmail.com,PHC,"MEDICAL OFFICER,KARULAI (PO)679330",MALAPPURAM,6440d365bc3a1cbc36097212
"PHC KAVANUR",HOSP10PHC030,04832959021,phckavanur@gmail.com,PHC,"Kavanur PO, Malappuram-673639",MALAPPURAM,6440d365bc3a1cbc36097213
"PHC KEEZHATTUR",HOSP10PHC031,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097214
"PHC KEEZHUPARAMBA",HOSP10PHC032,9447553838,mophckeezhuparamba@gmail.com,PHC,"Keezhuparamba PO pin 673639",MALAPPURAM,6440d365bc3a1cbc36097215
"PHC KODUR",HOSP10PHC033,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097216
"PHC KOOTTAYI",HOSP10PHC034,9562860000,phcfishkty@gmail.com,PHC,"Gfd koottayi kothaparamb koottayi",MALAPPURAM,6440d365bc3a1cbc36097217
"PHC KOOTTILANGADI",HOSP10PHC035,9895402290,koottilangadiphc@gmail.com,PHC,"post -padinhattumuri.malappuram -DIST.PIN 676506",MALAPPURAM,6440d365bc3a1cbc36097218
"PHC KURUMBALANGODE",HOSP10PHC036,8078173791,mophckurumbalangode@gmail.com,PHC,"KURUMBALANGODE PO,CHUNGATHARA-679334",MALAPPURAM,6440d365bc3a1cbc36097219
"PHC MAKKARAPARAMBA",HOSP10PHC037,"   04933 287311,           9446250185",makkaraparambaphc@gmail.com,PHC,"MAKKARAPARAMBA.P.O  ,KACHNIKKAD  , PIN -676507",MALAPPURAM,6440d365bc3a1cbc3609721a
"PHC MAMPAD",HOSP10PHC038,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609721b
"PHC MARAKKARA",HOSP10PHC039,9562801700,mophcmarakkara@gmail.com,PHC,"Fhc marakkara, marakkara Panchayat",MALAPPURAM,6440d365bc3a1cbc3609721c
"PHC MARANCHERY NEW",HOSP10PHC040,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609721d
"PHC MOONNIYOOR",HOSP10PHC041,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609721e
"PHC MOORKKANAD",HOSP10PHC042,04933202200,phcmoorkkanad@gmail.com,PHC,"ALINKUTTAM, KOLATHUR P O",MALAPPURAM,6440d365bc3a1cbc3609721f
"PHC MOOTHEDAM",HOSP10PHC043,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097220
"PHC MORAYUR",HOSP10PHC044,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097221
"PHC NANNAMBRA",HOSP10PHC045,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097222
"PHC NANNAMUKKU",HOSP10PHC046,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097223
"PHC NEDIYIRUPU",HOSP10PHC047,9846991728,mophcnediyiruppu@gmail.com,PHC,Chirayil(PO),MALAPPURAM,6440d365bc3a1cbc36097224
"PHC ODAKKAYAM",HOSP10PHC048,04832844500,mophcodakkayam@gmail.com,PHC,"PO POOVATHIKKAL, PIN 673639,MALAPPUARAM",MALAPPURAM,6440d365bc3a1cbc36097225
"PHC OORAKAM",HOSP10PHC049,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097226
"PHC OTHUKKUNGAL",HOSP10PHC050,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097227
"PHC OZHOOR",HOSP10PHC051,9895555617,mophcozhur@gmail.com,PHC,"Medical Officer, FHC  Ozhur,  Omachapuzha,(PO),  Malappuram  PIN 676320",MALAPPURAM,6440d365bc3a1cbc36097228
"PHC PALAPPETTY",HOSP10PHC052,,,PHC,,MALAPPURAM,6440d365bc3a1cbc36097229
"PHC PALLIKKAL",HOSP10PHC053,9447329015,mophcpallikkal@gmail.com,PHC,"PUTHOOR PALLIKKAL(PO) MALAPPURAM( DT)",MALAPPURAM,6440d365bc3a1cbc3609722a
"PHC PANDIKKAD",HOSP10PHC054,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609722b
"PHC PANG",HOSP10PHC055,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609722c
"PHC PARAPPANAGADI",HOSP10PHC056,9567205556,phcpgdi@gmail.com,PHC,"PHC PARAPPANANGADI,PARAPPANANGADI(PO),PUTHARIKKAL",MALAPPURAM,6440d365bc3a1cbc3609722d
"PHC PERUMANNA",HOSP10PHC057,,,PHC,,MALAPPURAM,6440d365bc3a1cbc3609722e
